CUMULATIVE_TIME,SCORE
19,0 - 1
34,2 - 1
88,2 - 3
100,5 - 3
116,5 - 5
139,5 - 7
165,5 - 9
260,7 - 9
281,8 - 9
293,8 - 11
313,10 - 11
324,10 - 13
334,13 - 13
348,13 - 15
402,13 - 17
419,15 - 17
440,15 - 20
487,15 - 21
487,15 - 22
500,17 - 22
508,19 - 22
521,19 - 25
537,20 - 25
670,20 - 27
681,22 - 27
681,23 - 27
690,23 - 28
717,23 - 30
720,23 - 30
720,23 - 30
740,25 - 30
793,27 - 30
807,27 - 32
834,27 - 35
895,27 - 37
933,30 - 37
1057,32 - 37
1092,34 - 37
1114,37 - 37
1136,37 - 39
1177,37 - 41
1224,39 - 41
1235,39 - 42
1235,39 - 43
1257,39 - 44
1257,39 - 45
1279,41 - 45
1294,41 - 47
1313,43 - 47
1332,43 - 48
1354,45 - 48
1377,45 - 51
1399,47 - 51
1413,49 - 51
1433,49 - 52
1433,49 - 53
1440,49 - 54
1440,49 - 55
1440,49 - 56
1440,49 - 56
1440,49 - 56
1464,51 - 56
1480,51 - 58
1503,52 - 58
1520,52 - 61
1547,53 - 61
1591,55 - 61
1614,57 - 61
1627,57 - 63
1663,57 - 65
1694,57 - 67
1714,60 - 67
1721,60 - 69
1721,60 - 70
1802,61 - 70
1825,61 - 72
1850,64 - 72
1864,64 - 74
1864,64 - 75
1884,66 - 75
1924,66 - 77
1946,68 - 77
1968,71 - 77
1990,71 - 80
2012,71 - 82
2031,73 - 82
2047,74 - 82
2062,74 - 84
2089,74 - 86
2106,77 - 86
2152,77 - 89
2160,77 - 89
2160,77 - 89
2173,77 - 91
2195,79 - 91
2231,81 - 91
2268,81 - 92
2268,81 - 93
2290,83 - 93
2301,83 - 95
2356,83 - 97
2408,84 - 97
2408,85 - 97
2441,87 - 97
2482,87 - 99
2530,88 - 99
2556,88 - 101
2606,89 - 101
2606,90 - 101
2651,91 - 101
2651,92 - 101
2666,92 - 103
2684,94 - 103
2707,94 - 104
2707,94 - 105
2736,94 - 107
2757,96 - 107
2757,97 - 107
2780,98 - 107
2780,99 - 107
2792,99 - 109
2828,102 - 109
2844,102 - 112
2851,104 - 112
2861,107 - 112
2876,109 - 112
2877,109 - 113
2877,109 - 114
2878,110 - 114
2878,111 - 114
2880,111 - 114
